,fbcsp,eegnet,safka_csp,multikernel_safka_csp,csp
154,0.9984,0.9393,0.7832,0.9976,0.3102
155,0.0731,0.3245,0.8889,0.5107,0.0586
156,0.984,0.9279,0.4401,0.9999,0.9457
157,0.0831,0.788,0.5954,1.0,0.2356
158,0.9719,0.2927,0.6305,1.0,0.0649
159,0.876,0.1219,0.3104,0.9805,0.1819
160,0.9073,0.9794,0.7725,0.9985,0.8551
161,0.9781,0.9963,0.7144,0.9843,0.7355
162,0.8855,0.0059,0.8017,0.9996,0.0177
163,0.9987,0.872,0.8891,0.9999,0.4451
164,0.9461,0.8703,0.9145,0.9999,0.1313
165,0.5564,0.9535,0.9147,0.9672,0.4524
166,0.9999,0.9391,0.9306,0.9999,0.2715
167,0.7595,0.6368,0.7422,1.0,0.404
168,0.9752,0.7965,0.9909,0.9928,0.7728
169,0.75,0.0748,0.9997,1.0,0.7588
170,0.0455,0.443,0.9996,1.0,0.9109
171,0.9994,0.7383,0.9994,1.0,0.791
172,0.33,0.4583,0.9948,1.0,0.5191
173,0.983,0.5415,0.9846,0.9999,0.2653
174,0.989,0.7742,0.9765,1.0,0.3352
175,0.8804,0.5379,0.9473,1.0,0.1932
176,0.9983,0.2035,0.9984,1.0,0.9139
177,0.601,0.7662,0.9927,0.9994,0.7387
178,0.772,0.9302,0.9503,1.0,0.987
179,0.9418,0.8838,0.9878,1.0,0.6713
180,0.999,0.3766,0.9938,1.0,0.9034
181,0.9933,0.5045,0.987,0.9948,0.7869
182,0.9923,0.5409,0.994,0.9459,0.9459
183,0.994,0.5929,0.7468,1.0,0.7589
184,0.9992,0.5932,0.9989,1.0,0.6436
185,0.9996,0.3128,0.9599,1.0,0.8966
186,0.8949,0.4962,0.6389,0.9996,0.9123
187,0.0112,0.8829,0.5329,0.9992,0.9359
188,0.829,0.5593,0.9317,0.9916,0.6667
189,0.9991,0.3683,0.8389,0.9989,0.702
190,0.9999,0.8954,0.9913,0.9999,0.4397
191,0.2183,0.8499,0.4136,1.0,0.5988
192,0.8905,0.0807,0.9996,1.0,0.5962
193,0.1403,0.9497,0.9984,1.0,0.5685
194,0.1487,0.8378,0.9943,1.0,0.3641
195,0.5704,0.1457,0.999,1.0,0.3992
196,0.0178,0.8494,1.0,1.0,0.9818
197,0.9756,0.8081,0.9438,0.9854,0.6243
198,0.9697,0.6974,0.922,0.9999,0.813
199,0.99,0.9803,0.9998,1.0,0.768
200,0.9908,0.4355,0.9954,0.9996,0.1204
201,0.6734,0.6043,0.9866,0.983,0.1048
202,0.995,0.5874,0.9985,1.0,0.4994
203,0.1158,0.0686,0.9937,1.0,0.0862
204,0.0,0.8808,0.9529,0.9998,0.4391
205,0.9903,0.907,0.997,1.0,0.8829
206,1.0,0.8238,0.9905,1.0,0.7942
207,0.9996,0.0158,0.733,0.9999,0.733
208,0.9984,0.7924,0.9342,0.9999,0.8987
209,0.9988,0.204,0.9853,1.0,0.0568
210,1.0,0.777,0.9935,1.0,0.9493
211,0.1381,0.3261,0.1628,0.0,0.8627
212,0.9585,0.343,0.9999,1.0,0.3085
213,0.0652,0.5038,0.9976,0.9997,0.1973
214,1.0,0.9197,0.9984,1.0,0.5836
215,0.989,0.4848,0.992,1.0,0.7036
216,0.9875,0.7606,0.533,0.8445,0.7953
217,0.1426,0.4307,0.8073,1.0,0.3091
218,1.0,0.0629,0.674,1.0,0.2404
219,0.0007,0.2337,0.628,1.0,0.8721
220,0.3279,0.8054,0.6825,1.0,0.7791
221,1.0,0.9952,0.6785,1.0,0.4129
222,1.0,0.9845,0.9691,1.0,0.8888
223,0.9694,0.9974,0.9404,1.0,0.8365
224,0.9241,0.898,0.9497,1.0,0.6264
225,0.9634,0.9304,0.5273,0.9703,0.9829
226,1.0,0.8163,0.8382,0.9999,0.4398
227,0.7535,0.3586,0.1718,1.0,0.8808
228,0.998,0.6713,0.9821,1.0,0.5837
229,0.9938,0.8766,0.7935,0.999,0.7688
230,0.0605,0.7081,0.7337,0.9985,0.4856
231,1.0,0.1539,0.828,1.0,0.8596
232,0.3444,0.2089,0.9286,1.0,0.9748
233,1.0,0.6117,0.9227,1.0,0.7265
234,0.9846,0.7547,0.8267,0.9992,0.7063
235,0.994,0.6508,0.515,0.9928,0.6798
236,0.9994,0.3936,0.9418,0.997,0.5665
237,0.9857,0.88,0.7997,0.9745,0.5951
238,0.7229,0.788,0.92,0.9996,0.8301
239,0.9676,0.6127,0.6852,1.0,0.6676
240,0.9997,0.9967,0.9993,1.0,0.7053
241,0.9557,0.8609,0.9684,0.9949,0.7051
242,0.9906,0.9775,0.9584,0.9459,0.617
243,0.476,0.3522,0.7342,0.4675,0.6561
244,0.1488,0.2011,0.6645,0.5407,0.4168
245,0.4336,0.4769,0.5051,0.7348,0.3937
246,0.9648,0.5433,0.2938,0.3412,0.6832
247,0.5654,0.8163,0.2561,0.711,0.4095
248,0.8516,0.5838,0.423,0.6041,0.3471
249,0.2553,0.7139,0.3926,0.7774,0.4006
250,0.9358,0.0039,0.9916,1.0,0.3835
251,0.8753,0.5196,0.8999,0.8932,0.5069
252,0.6298,0.6987,0.8473,0.9755,0.3786
253,0.2268,0.8953,0.7977,0.8422,0.7046
254,0.1873,0.1802,0.2454,0.0987,0.2298
255,0.0334,0.0155,0.0928,0.0139,0.1855
256,0.9374,0.1026,0.6922,0.503,0.3132
257,0.9769,0.6782,0.7903,0.8285,0.5558
258,0.7946,0.3464,0.4498,0.2704,0.6127
259,0.2316,0.1248,0.4283,0.0851,0.439
260,0.9842,0.5331,0.7923,0.6096,0.776
261,0.0886,0.4762,0.8268,0.9813,0.6303
262,0.7359,0.8508,0.8296,0.9435,0.4678
263,0.8882,0.6284,0.8985,0.9148,0.5328
264,0.9167,0.8849,0.8825,0.9826,0.5332
265,0.9883,0.7349,0.5602,0.9869,0.3667
266,0.1295,0.8781,0.528,0.9968,0.9492
267,0.0394,0.1784,0.3678,0.9849,0.2859
268,0.8158,0.9847,0.6658,0.9985,0.8156
269,0.0895,0.5394,0.4305,0.5491,0.51
270,0.9279,0.4299,0.5816,0.9994,0.3059
271,0.607,0.2446,0.4638,0.8801,0.0477
272,0.5813,0.1581,0.4499,0.7011,0.4423
273,0.6217,0.6232,0.448,0.8151,0.2852
274,0.491,0.6114,0.4523,0.9698,0.3349
275,0.4534,0.656,0.4721,0.8593,0.531
276,0.8852,0.7606,0.4853,0.0612,0.8839
277,0.9432,0.8693,0.5476,0.9657,0.5438
278,0.2019,0.6821,0.3744,0.0046,0.368
279,0.5204,0.4827,0.5347,0.4811,0.2359
280,0.7158,0.3216,0.4665,0.8603,0.2164
281,0.9223,0.3879,0.4698,0.4368,0.6098
282,0.915,0.5573,0.5179,0.8382,0.7764
283,0.498,0.7947,0.5342,0.8897,0.2216
284,0.7933,0.6897,0.5108,0.9258,0.8175
285,0.9113,0.4793,0.4852,0.483,0.3862
286,0.7774,0.0337,0.5607,0.7454,0.3823
287,0.8434,0.5507,0.5199,0.9753,0.537
288,0.9082,0.9937,0.8069,0.9998,0.7751
289,0.9841,1.0,0.0521,1.0,0.0957
290,0.7246,0.4709,0.5736,0.9933,0.2477
291,0.9738,0.6371,0.736,0.9533,0.6898
292,0.0872,0.2189,0.5723,0.3027,0.4243
293,0.8679,0.8255,0.5014,0.6929,0.6115
294,0.9706,0.974,0.7175,0.9691,0.706
295,0.9848,0.8929,0.7361,0.9483,0.4881
296,0.1229,0.7041,0.5285,0.9836,0.4064
297,0.1365,0.267,0.4557,0.529,0.5312
298,0.0682,0.8124,0.4503,0.5146,0.4601
299,0.7699,0.3351,0.4938,0.9723,0.4954
300,0.6715,0.9186,0.4626,0.9108,0.4679
301,0.5131,0.9962,0.1657,0.2628,0.8126
302,0.5955,0.9019,0.4763,0.9785,0.5032
303,0.1754,0.5575,0.3924,0.995,0.5895
304,0.5816,0.5858,0.3938,0.0088,0.548
305,0.0701,0.1054,0.4035,0.0078,0.4573
306,0.9413,0.0773,0.5524,0.1376,0.4756
307,0.2024,0.1279,0.588,0.3942,0.4565
308,0.9995,0.9298,0.7241,0.9948,0.471
309,0.9946,0.6094,0.5787,0.8705,0.4456
310,0.6467,0.9831,0.555,0.9707,0.5388
311,0.8184,0.9479,0.5495,0.9972,0.5857
312,0.9477,0.9671,0.9319,0.817,0.7188
313,0.9992,0.93,0.9243,0.9976,0.7576
314,0.6591,0.2403,0.6783,0.3148,0.3724
315,0.9354,0.6916,0.6545,0.6396,0.2758
316,0.6992,0.4965,0.8513,0.9094,0.6424
317,0.8887,0.3708,0.6767,0.5477,0.4415
318,0.0871,0.4495,0.3951,0.0382,0.2404
319,0.1458,0.7951,0.4107,0.8596,0.578
320,0.8855,0.3591,0.592,0.9939,0.4097
321,0.9184,0.7981,0.6142,0.9919,0.5925
322,0.6588,0.1341,0.582,0.9966,0.4716
323,0.6324,0.6315,0.5215,0.4292,0.429
324,0.4708,0.5991,0.4864,0.7956,0.5666
325,0.6958,0.4022,0.4239,0.6918,0.5638
326,0.8775,0.528,0.3868,0.2539,0.6384
327,0.8843,0.2732,0.6234,0.8926,0.4806
328,0.7599,0.7032,0.5803,0.9829,0.3819
329,0.6728,0.2684,0.5182,0.3711,0.5913
330,0.4688,0.17,0.4993,0.3863,0.4331
331,0.2503,0.612,0.4967,0.517,0.5252
332,0.9709,0.6448,0.6018,0.9176,0.547
333,0.4795,0.7358,0.4662,0.9024,0.3811
334,0.3215,0.6355,0.4458,0.7626,0.5503
335,0.9593,0.6185,0.4987,0.9357,0.4343
336,0.9939,0.5462,0.9459,0.9882,0.6914
337,0.332,0.1778,0.1968,0.0535,0.5294
338,0.2801,0.6372,0.2047,0.2713,0.5036
339,0.7992,0.893,0.8544,0.7924,0.4212
340,0.9991,0.9201,0.8707,0.9717,0.9076
341,0.4143,0.4433,0.357,0.8572,0.3615
342,0.9988,0.9892,0.646,0.9939,0.8123
343,0.9247,0.1874,0.3963,0.9974,0.9496
344,0.6382,0.1899,0.4932,0.9108,0.2318
345,0.9843,0.7612,0.5762,0.7262,0.3049
346,0.5662,0.1549,0.5214,0.6601,0.7765
347,0.8849,0.6049,0.5325,0.7785,0.7548
348,0.536,0.8288,0.528,0.7568,0.7434
349,0.5937,0.6833,0.5479,0.5028,0.3613
350,0.4945,0.8675,0.5426,0.426,0.3303
351,0.1136,0.6507,0.4606,0.8477,0.2889
352,0.3,0.5637,0.4947,0.9858,0.6813
353,0.8296,0.5014,0.4945,0.6979,0.7851
354,0.8706,0.7408,0.4794,0.4476,0.6577
355,0.3361,0.2017,0.4933,0.5012,0.3739
356,0.2216,0.5268,0.6126,0.9724,0.3082
357,0.6938,0.4153,0.5317,0.4068,0.9343
358,0.773,0.5751,0.5165,0.924,0.5494
359,0.3957,0.8675,0.5273,0.7797,0.4058
360,0.9989,0.476,0.8378,0.9981,0.7455
361,0.9996,0.3365,0.8722,0.964,0.9466
362,0.962,0.7618,0.2406,0.9943,0.9467
363,0.9293,0.9294,0.4604,0.9272,0.6078
364,0.9313,0.711,0.3409,0.9764,0.8113
365,0.9998,0.0665,0.9022,0.4214,0.0206
366,0.8947,0.4963,0.3068,0.9761,0.995
367,0.9975,0.8685,0.7419,0.9177,0.8331
368,0.9951,0.8999,0.6989,0.6091,0.0982
369,0.9995,0.5707,0.7413,0.9371,0.9755
370,0.2998,0.6602,0.712,0.2412,0.8194
371,0.6278,0.858,0.6609,0.7972,0.7792
372,0.9834,0.9383,0.8603,0.9966,0.9897
373,0.9948,0.3234,0.711,0.9026,0.9634
374,0.8656,0.7293,0.8625,0.5995,0.4105
375,0.8047,0.917,0.8913,0.9662,0.9401
376,0.1341,0.2457,0.6577,0.9006,0.5573
377,0.9843,0.5473,0.5905,0.5203,0.9645
378,0.8237,0.9167,0.5753,0.7428,0.9357
379,0.1526,0.6007,0.5578,0.5679,0.3902
380,0.8352,0.7649,0.2197,0.0053,0.8859
381,0.9891,0.3165,0.651,0.9179,0.4782
382,0.0483,0.5079,0.404,0.5025,0.0647
383,0.2293,0.97,0.2473,0.4717,0.9079
384,0.9999,0.8895,0.9637,0.7892,0.5623
385,0.9998,0.5811,0.9676,0.9865,0.3911
386,0.9285,0.8969,0.6678,0.9717,0.911
387,0.1545,0.1913,0.1354,0.706,0.3609
388,0.9784,0.4933,0.9321,0.9371,0.8263
389,0.9996,0.8548,0.9605,0.9062,0.8801
390,0.0072,0.4727,0.2612,0.0586,0.0285
391,0.8433,0.9155,0.2915,0.6845,0.7145
392,0.9953,0.4593,0.9157,0.9777,0.981
393,0.7561,0.8282,0.7658,0.7232,0.4509
394,0.3248,0.6934,0.2321,0.024,0.063
395,0.386,0.239,0.9803,0.999,0.2077
396,0.9918,0.8215,0.8437,0.8595,0.9678
397,0.9816,0.7699,0.8975,0.8659,0.7753
398,0.3969,0.3192,0.926,0.9978,0.6786
399,0.996,0.8145,0.9088,0.9318,0.7004
400,0.9951,0.7728,0.7497,0.4615,0.4558
401,0.0027,0.5447,0.4815,0.6209,0.4872
402,0.002,0.8319,0.0528,0.1607,0.3242
403,0.8225,0.3915,0.1448,0.0319,0.7739
404,0.912,0.314,0.4426,0.91,0.9214
405,0.0056,0.1987,0.431,0.087,0.2936
406,0.1527,0.8531,0.5658,0.8939,0.9635
407,0.8175,0.744,0.4641,0.8183,0.5468
408,0.9023,0.9183,0.9806,0.9966,0.9147
409,0.9937,0.6252,0.4657,0.7659,0.2094
410,0.1427,0.8949,0.5858,0.1489,0.9972
411,0.7297,0.3618,0.2964,0.3567,0.8797
412,0.3517,0.7836,0.1393,0.1655,0.8999
413,0.8503,0.9105,0.091,0.1289,0.9639
414,0.1861,0.9483,0.8354,0.7137,0.9678
415,0.9603,0.1323,0.92,0.8368,0.7626
416,0.8561,0.0883,0.8411,0.8117,0.1807
417,0.918,0.9646,0.0306,0.092,0.6688
418,0.7769,0.1405,0.9733,0.929,0.1113
419,0.9613,0.37,0.9764,0.9191,0.2512
420,0.7815,0.3566,0.6231,0.2956,0.9506
421,0.503,0.092,0.7785,0.9627,0.5719
422,0.9991,0.802,0.8587,0.9128,0.7247
423,0.4912,0.6238,0.8761,0.9908,0.2403
424,0.9501,0.2549,0.9447,0.997,0.8263
425,0.4189,0.843,0.9696,0.9991,0.5571
426,0.8025,0.3829,0.5908,0.5906,0.0765
427,0.8797,0.8655,0.7628,0.5069,0.634
428,0.6753,0.9023,0.5071,0.6337,0.6653
429,0.7369,0.6262,0.4109,0.3966,0.9871
430,0.9952,0.8756,0.3543,0.3273,0.701
431,0.859,0.2187,0.2174,0.0261,0.4822
432,0.9989,0.5893,0.9916,0.9989,0.6793
433,0.9991,0.5978,0.9985,0.9999,0.7284
434,0.9938,0.5926,0.8914,0.9988,0.4588
435,0.9767,0.5483,0.252,0.001,0.9848
436,0.2011,0.2287,0.2132,0.6794,0.1836
437,0.9506,0.8624,0.6006,0.9856,0.8956
438,0.9684,0.5885,0.2258,0.5583,0.9795
439,0.3197,0.0801,0.0643,0.1276,0.1031
440,0.9983,0.2647,0.9866,0.9999,0.3861
441,0.9129,0.4087,0.9465,0.9941,0.7405
442,0.5432,0.08,0.9667,0.995,0.6698
443,0.0332,0.3787,0.9525,0.9942,0.2076
444,0.9981,0.8463,0.8935,0.9511,0.9163
445,0.9992,0.7406,0.9471,0.9975,0.2934
446,0.9996,0.4782,0.9874,0.9998,0.7852
447,0.9867,0.0647,0.9242,0.0617,0.5187
448,1.0,0.7831,0.8687,0.9253,0.5776
449,0.9246,0.441,0.9562,0.9993,0.5883
450,0.0272,0.7285,0.6986,0.1488,0.2424
451,0.9964,0.7933,0.4981,0.2862,0.9478
452,0.0102,0.5637,0.5154,0.5718,0.9678
453,0.0599,0.8096,0.5575,0.6787,0.6885
454,0.9639,0.5593,0.828,0.0987,0.2486
455,0.9997,0.4182,0.8074,0.6042,0.785
456,0.9758,0.5748,0.8914,0.9987,0.9675
457,0.0063,0.9799,0.8833,0.9856,0.9586
458,0.0068,0.204,0.7971,0.8655,0.9933
459,0.2298,0.3729,0.8619,0.9953,0.4081
460,0.0762,0.0775,0.5075,0.4063,0.0018
461,0.432,0.6958,0.4125,0.073,0.0268
462,0.6837,0.7192,0.5196,0.9351,0.7852
463,0.4303,0.562,0.7438,0.859,0.9909
464,0.9256,0.3278,0.9063,0.9621,0.9999
465,0.9932,0.7012,0.9109,0.9971,0.8102
466,0.9997,0.7506,0.8907,0.9717,0.2918
467,0.9028,0.535,0.2471,0.2504,0.819
468,0.1275,0.987,0.7011,0.8927,0.8518
469,0.3657,0.7673,0.8848,0.9434,0.7567
470,0.9756,0.212,0.8311,0.5483,0.937
471,0.7301,0.2843,0.7812,0.5286,0.6034
472,0.4531,0.2073,0.9194,0.9819,0.9896
473,0.9914,0.4948,0.8944,0.8264,0.9973
474,0.9999,0.2,0.8881,0.8221,0.9475
475,0.3436,0.6589,0.2514,0.482,0.6462
476,0.9992,0.0412,0.627,0.5767,0.1267
477,0.9999,0.1674,0.5637,0.8874,0.1911
478,0.2232,0.9256,0.3685,0.1157,0.97
479,0.4253,0.0309,0.6773,0.7296,0.6173
480,0.2934,0.8592,0.165,0.9379,0.908
481,0.5907,0.3687,0.2306,0.9942,0.3327
482,0.9208,0.9549,0.7062,0.5176,0.3325
483,0.6995,0.6707,0.8376,0.8941,0.0416
484,0.8969,0.7908,0.8592,0.8585,0.7044
485,0.9752,0.8304,0.8227,0.9459,0.4246
486,0.9442,0.9463,0.822,0.6945,0.1989
487,0.9451,0.0733,0.5845,0.8618,0.4802
488,0.9853,0.0895,0.622,0.0065,0.7021
489,0.0907,0.6126,0.4786,0.2232,0.043
490,0.1153,0.927,0.3865,0.861,0.231
491,0.4077,0.4998,0.6692,0.926,0.9164
492,0.4312,0.9045,0.9216,0.9977,0.3338
493,0.0661,0.3391,0.4812,0.0816,0.2174
494,0.2097,0.9047,0.4994,0.9344,0.4466
495,0.0949,0.207,0.3523,0.1593,0.9598
496,0.058,0.2541,0.3065,0.3938,0.887
497,0.0658,0.1823,0.2611,0.962,0.4193
498,0.4301,0.9344,0.7111,0.8869,0.9221
499,0.9644,0.573,0.8336,0.998,0.953
500,0.9993,0.9738,0.7601,0.8328,0.4998
501,0.7538,0.9774,0.9143,0.6907,0.9303
502,0.0047,0.6882,0.8058,0.8488,0.5893
503,0.9699,0.6826,0.7877,0.7576,0.6664
504,0.0463,0.4899,0.4581,0.2236,0.8572
505,0.0368,0.383,0.2174,0.9394,0.3099
506,0.8207,0.9469,0.7734,0.2977,0.7818
507,0.9974,0.6615,0.8232,0.9787,0.5285
508,0.926,0.7321,0.8676,0.8819,0.877
509,0.9736,0.1853,0.6402,0.7755,0.508
510,0.0254,0.119,0.4943,0.0915,0.9412
511,0.0603,0.6464,0.5381,0.8317,0.5385
512,0.5562,0.3713,0.4704,0.4715,0.4874
513,0.3918,0.7187,0.4372,0.9024,0.2744
514,0.0009,0.111,0.7703,0.9284,0.3654
515,0.2554,0.7834,0.6116,0.4462,0.196
516,0.6113,0.6431,0.4944,0.6773,0.5989
517,0.9225,0.8878,0.7807,0.9019,0.5303
518,0.996,0.9196,0.1484,0.0443,0.5054
519,0.6771,0.6269,0.4091,0.3939,0.5709
520,0.0902,0.9556,0.5903,0.6187,0.8022
521,0.9961,0.7766,0.7621,0.4437,0.8322
522,0.9033,0.9605,0.7547,0.9696,0.7361
523,0.9827,0.2345,0.516,0.9234,0.7904
524,0.9099,0.7049,0.789,0.4922,0.8488
525,0.8775,0.9758,0.8957,0.9659,0.6171
526,0.9949,0.4647,0.1363,0.1353,0.5587
527,0.2044,0.2001,0.3448,0.0718,0.2121
528,0.3199,0.8843,0.6194,0.7553,0.9812
